Idx,Feature,Vel_x,Vel_y,Vel_z,Sum
25,vel_norm_x,0.07577748107910157,0.11289441935221355,0.793734375,0.12872366333007812,1.111129938761393
5,ang_z,0.06550896708170573,0.14207613118489584,0.12054273478190104,0.12762753295898438,0.455755366007487
137,ctrl_hist_13_yaw,0.06598598225911459,0.24762839762369793,0.05492004903157552,0.12690819295247396,0.495442621866862
141,ctrl_hist_14_yaw,0.02253466796875,0.288356201171875,0.0988897705078125,0.12653492228190105,0.5363155619303386
129,ctrl_hist_11_yaw,0.03913197580973307,0.051499862670898434,0.11192705281575521,0.12575650024414062,0.32831539154052736
34,derivative_ang_vel_x,0.04149871826171875,0.3233321940104167,0.5021043294270834,0.124953125,0.9918883666992189
60,derivative_rot_matrix_z2,0.2988590698242187,0.2357471720377604,0.24582501220703126,0.124902099609375,0.9053333536783854
36,derivative_ang_vel_z,0.17598268636067707,0.1482880147298177,0.4795419921875,0.11977390543619791,0.9235865987141927
30,derivative_vel_z,0.15782437133789062,0.14725092569986978,0.070050537109375,0.11734410603841146,0.49246994018554685
73,derivative_dir_to_target_body_x,0.3948158772786458,0.14529653930664063,0.811637939453125,0.11588268025716146,1.467633036295573
29,derivative_vel_y,0.0458321533203125,0.717294189453125,0.10538649495442709,0.11541451009114584,0.9839273478190105
106,ctrl_hist_6_thrust,0.16601065063476564,0.09059632364908854,0.22812823486328124,0.11381046549479167,0.5985456746419271
0,vel_x,0.0675629374186198,0.229880859375,0.4211383870442708,0.11089632161458333,0.8294785054524738
22,ang_vel_over_dist_x,0.21187827555338543,1.8845081380208333,0.2963374430338542,0.10805418904622396,2.500778045654297
54,derivative_rot_matrix_x2,0.07860486857096353,0.11595032755533854,0.3380906778971354,0.10799612426757813,0.6406419982910155
14,sec_derivative_pos_err_z,0.11937454223632812,0.4444949951171875,0.4542216389973958,0.10701944986979167,1.1251106262207031
81,world_thrust_z,0.16065430704752603,0.08552865600585938,0.06007291158040365,0.10526156616210937,0.4115174407958984
108,ctrl_hist_6_pitch,0.03764220937093099,0.13057911173502604,0.13669082641601563,0.10449048868815104,0.4094026362101237
124,ctrl_hist_10_pitch,0.027071749369303386,0.15849374389648438,0.0729734853108724,0.10374126180013021,0.36228024037679035
114,ctrl_hist_8_thrust,0.16122157796223957,0.11914675903320313,0.0754149678548177,0.10332899983723959,0.45911230468750003
82,ctrl_hist_0_thrust,0.1318333740234375,0.060959442138671875,0.0377283198038737,0.10204537963867187,0.33256651560465494
7,pos_err_y,0.05902152506510416,0.25061517333984373,0.31713393147786456,0.09955654907226562,0.726327178955078
127,ctrl_hist_11_roll,0.034224029541015624,0.04071672821044922,0.11019601440429687,0.0994139404296875,0.28455071258544923
123,ctrl_hist_10_roll,0.03201582845052083,0.12108890787760417,0.06999269612630209,0.09750917561848958,0.3206066080729167
10,derivative_pos_err_y,0.2597404174804688,0.16605987548828124,0.5274793294270833,0.09522665405273438,1.0485062764485678
33,ang_vel_norm_z,0.26128476969401043,0.10616190592447916,0.10321514892578125,0.09208463541666667,0.5627464599609375
59,derivative_rot_matrix_z1,0.10790707397460937,1.2567303059895834,0.4199322916666667,0.09080422973632812,1.8753739013671873
111,ctrl_hist_7_roll,0.07545007832845052,0.25080084228515626,0.0891288553873698,0.09046989949544271,0.5058496754964192
118,ctrl_hist_9_thrust,0.16787342325846355,0.10214133707682292,0.10471541341145833,0.09034574381510417,0.465075917561849
142,ctrl_hist_15_thrust,0.055825276692708335,0.07948465474446614,0.14271490478515625,0.08882408650716146,0.3668489227294922
37,skid_vel_x,0.10778697713216145,0.09049002075195313,0.5403871663411458,0.08619793701171875,0.8248621012369791
134,ctrl_hist_13_thrust,0.18740915934244792,0.12197531127929688,0.13121145629882813,0.08614632161458333,0.5267422485351563
76,integral_dir_to_target_body_x,0.06929998779296875,0.08744397989908854,0.6126173909505208,0.08613721720377604,0.855498575846354
6,pos_err_x,0.05344183858235677,0.05191703796386719,0.43510774739583336,0.08422985331217447,0.6246964772542318
